name,multiplayer,coop
pawnbarian,"Most floors of the Gauntlet completed after the primary goal has been achieved","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
rocket league,"Play against each other!","Play with each other!"
shovel knight showdown,"Play against each other!",":D"
snkrx,"Most money at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
slay the spire modded,"Highest score at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
super mario crossover,"Fastest time to complete primary","Switch players after each life lost"
voidigo,"Highest amount of shards at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
warioware,"Continue playing after primary objective has been completed - highest score at game over","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
we love katamari,"Biggest katamari","Play in co-op mode"
wildfrost,"Most money at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
bpm,"Highest score at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
void rains upon her heart","Highest score on run end (if both players complete their run, else Highest lvl boss loved)","One player plays the standard character, the second plays the Altered version or flips a new primary. Players have the same secondary objective. When possible, coordinate so that you don't love the same boss twice."
beyond the long night,"Most balloons at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
binding of isaac flash,"Most health at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
endgame of devil,"Most gems remaining at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
hextraction,"Victory on earliest turn","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
zelda breath of the wild,"Fastest time to complete","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
marvel champions,"Least threat on main scheme","Play as a co-op game"
mini metro,"Highest score at end of run","Add 100 to the primary objective, one of you must complete the objective"
sternly worded adventures,"Longest word created at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
super dungeon maker,"Most health left upon victory","Flip secondary objectives equal to the # of players, everyone must complete their own secondary objective with the flipped primary objective"
thronefall,"Most money at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
wipeout hd fury,"Highest amount of points at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
a to z","Compare words found to other players, whoever has the least matching words to others","Fill your lists together!"
chess,"Play against each other","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
dungreed,"Most money at end of run","Flip primary objectives equal to the # of players, everyone must complete a primary objective with the flipped secondary objective"
exercise,"This is a meme deck, why are you looking at the multiplayer rules for it?","Just workout together :)"
